row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000170561,1520.137229,14.06869296,1.181992854,11.90251947,1.15E-32,9.56E-31,IRX2
ENSG00000188011,1595.354315,14.13914963,1.181048947,11.97168811,5.00E-33,4.28E-31,RTP5
ENSG00000226103,1795.005456,14.31085044,1.181151507,12.11601591,8.69E-34,7.87E-32,C6orf47
ENSG00000182087,1818.088239,14.32783713,1.181139084,12.13052495,7.28E-34,6.79E-32,TMEM259
ENSG00000143373,1861.951703,14.36210027,1.180953585,12.16144347,4.99E-34,4.80E-32,ZNF687
ENSG00000153802,2000.380934,14.46554212,1.182456749,12.23346404,2.06E-34,2.05E-32,TMPRSS11D
ENSG00000166831,2032.150908,14.4899435,1.181334839,12.2657379,1.38E-34,1.42E-32,RBPMS2
ENSG00000189280,2035.250581,14.49030728,1.180355743,12.27622042,1.22E-34,1.34E-32,GJB5
ENSG00000166037,2035.014101,14.49102429,1.181046764,12.2696448,1.32E-34,1.40E-32,CEP57
ENSG00000047578,2136.846251,14.56009478,1.181713859,12.32116782,6.97E-35,8.94E-33,KIAA0556
ENSG00000144504,2240.351239,14.62896456,1.180950301,12.38745148,3.06E-35,4.28E-33,ANKMY1
ENSG00000225194,2278.353518,14.65436785,1.180491384,12.41378637,2.20E-35,3.23E-33,LINC00092
ENSG00000166828,2394.524111,14.72540706,1.180504168,12.47382894,1.04E-35,1.68E-33,SCNN1G
ENSG00000226174,2405.383119,14.73308228,1.181107772,12.47395253,1.04E-35,1.68E-33,TEX22
ENSG00000226102,2443.646572,14.75552564,1.180468591,12.49971897,7.49E-36,1.36E-33,PLCG2
ENSG00000144029,2909.672713,15.00640517,1.180951303,12.70704824,5.40E-37,1.28E-34,MRPS5
ENSG00000144369,3248.421347,15.16515788,1.180827055,12.84282725,9.44E-38,2.91E-35,FAM171B
ENSG00000174173,3604.465184,15.31524516,1.180666089,12.97169903,1.77E-38,6.06E-36,TRMT10C
ENSG00000226172,4656.690357,15.68507729,1.180781379,13.28364215,2.88E-40,1.48E-37,LOC105378933
ENSG00000179766,4933.12386,15.76785301,1.180354191,13.35857756,1.06E-40,6.50E-38,ATP8B5P
ENSG00000166164,5986.432975,16.04750177,1.179581521,13.60440248,3.77E-42,2.90E-39,BRD7
ENSG00000175182,7583.516779,16.38846002,1.180721653,13.88003682,8.37E-44,8.59E-41,FAM131A
ENSG00000167615,11431.94433,16.98099026,1.181228058,14.37570853,7.35E-47,1.13E-43,LENG8
