row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000100206,7.045765731,2.5979667,0.378718516,4.219404736,2.45E-05,0.002340162
ENSG00000239264,249.705388,2.594257791,0.222919179,7.151730055,8.57E-13,2.41E-10
ENSG00000163053,25.45028867,2.591870387,0.311818533,5.105117942,3.31E-07,4.41E-05
ENSG00000137941,25.13944022,2.587402364,0.32349732,4.907003137,9.25E-07,0.000115427
ENSG00000129195,20.42139221,2.585854026,0.270027165,5.87294255,4.28E-09,7.59E-07
ENSG00000249816,5.280039402,2.585713651,0.403563636,3.92927784,8.52E-05,0.007108686
ENSG00000211967,301.6331192,2.57725659,0.346976397,4.545717245,5.47E-06,0.000600952
ENSG00000259719,59.84686424,2.577034577,0.355651206,4.434216864,9.24E-06,0.000969622
ENSG00000085840,78.5713111,2.575613117,0.247483129,6.366547592,1.93E-10,4.01E-08
ENSG00000163221,3770.806343,2.568207489,0.416995139,3.760733262,0.000169416,0.012980453
ENSG00000140534,19.24852363,2.561647063,0.254458794,6.137131441,8.40E-10,1.63E-07
ENSG00000169385,1398.725385,2.553980137,0.354047703,4.389182931,1.14E-05,0.001158508
ENSG00000124635,69.41639959,2.551012468,0.322902928,4.803339744,1.56E-06,0.000185773
ENSG00000234456,38.58575989,2.545242899,0.401311659,3.85048095,0.000117886,0.00942906
ENSG00000174175,658.9033144,2.543237226,0.338193958,4.56317208,5.04E-06,0.00056103
ENSG00000259207,1620.915772,2.541259337,0.37479776,4.11224266,3.92E-05,0.003609772
ENSG00000102230,54.28576844,2.529008309,0.433539121,3.526805851,0.000420605,0.027583494
ENSG00000153721,8.415832792,2.528896216,0.451309241,3.387690917,0.000704836,0.042695709
ENSG00000051180,102.9038578,2.528138222,0.209425223,7.296820306,2.95E-13,8.85E-11
ENSG00000145335,640.0311203,2.524914079,0.347218725,4.391796787,1.12E-05,0.001152245
ENSG00000239951,3246.156682,2.519160251,0.374637598,4.055012791,5.01E-05,0.004383538
ENSG00000112742,44.25258477,2.515091031,0.238825854,6.343915467,2.24E-10,4.59E-08
ENSG00000123500,18.45658674,2.511735634,0.446690531,3.384301947,0.000713595,0.043057726
ENSG00000158406,111.3765084,2.511270847,0.347062004,4.35446931,1.33E-05,0.001340566
ENSG00000211968,53.59421056,2.511118774,0.427670109,3.533374774,0.00041029,0.027027138
ENSG00000146858,21.0557164,2.503527115,0.307479921,4.889838371,1.01E-06,0.000123719
ENSG00000003436,51.77296462,2.500240474,0.35537013,4.221627958,2.43E-05,0.002331588
ENSG00000196747,18.96890226,2.49712771,0.288866954,5.182758663,2.19E-07,2.99E-05
ENSG00000172889,103.1316473,2.480562237,0.310916855,4.761923361,1.92E-06,0.000226551
ENSG00000204420,1304.172563,2.476005309,0.334055205,4.418447268,9.94E-06,0.001036099
ENSG00000275713,84.55408743,2.443583892,0.363666481,3.96952694,7.20E-05,0.006090619
ENSG00000239819,83.55675821,2.439332087,0.385271415,3.735891195,0.000187052,0.014156463
ENSG00000278196,547.0428232,2.437257134,0.366157771,3.925240014,8.66E-05,0.007209561
ENSG00000163808,85.2787293,2.420094174,0.211975732,6.699324315,2.09E-11,4.99E-09
ENSG00000111665,68.30334197,2.418434861,0.188374018,7.529885891,5.08E-14,1.65E-11
ENSG00000137563,147.1388065,2.41109137,0.214984475,6.563689626,5.25E-11,1.19E-08
ENSG00000079308,289.995546,2.408493272,0.384822634,3.660110263,0.000252107,0.018232972
ENSG00000165409,26.58773535,2.404270162,0.238592644,5.885638959,3.97E-09,7.14E-07
ENSG00000253633,9.630188473,2.401893819,0.367275445,3.817009384,0.000135079,0.010693699
ENSG00000211951,126.1884117,2.38959364,0.34353326,4.045004671,5.23E-05,0.004549376
ENSG00000162062,33.3541778,2.386694081,0.210712376,6.580980721,4.67E-11,1.07E-08
ENSG00000136842,57.40265128,2.384270048,0.380613207,3.636946969,0.000275889,0.019814058
