row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000070444,9.565441428,-4.047402977,1.018584627,-3.973555924,7.08E-05,0.000636256
ENSG00000213639,82.20573261,-1.005169386,0.252780513,-3.976451239,7.00E-05,0.000636256
ENSG00000140632,70.02116266,1.066144079,0.269584263,3.954771194,7.66E-05,0.000678682
ENSG00000184185,5.050108111,-5.639901972,1.435899137,-3.927784221,8.57E-05,0.000748965
ENSG00000128891,4.440466844,5.812435122,1.499101076,3.877280335,0.000105631,0.000898783
ENSG00000172992,30.93753359,-1.727049077,0.445456688,-3.877030302,0.000105739,0.000898783
ENSG00000054793,35.91304093,-1.450413511,0.378399323,-3.833023539,0.000126578,0.001061566
ENSG00000087111,71.52653417,0.990230979,0.25870879,3.827589228,0.000129404,0.001070992
ENSG00000237945,12.47394802,-2.543447987,0.67100629,-3.790497977,0.000150346,0.001228147
ENSG00000168952,4.598910199,-5.499498591,1.452641182,-3.785861683,0.000153177,0.001235234
ENSG00000183474,32.66729395,1.382813654,0.365617816,3.782128751,0.000155493,0.001238038
ENSG00000148344,4.551914684,-5.479926003,1.450930029,-3.776836853,0.000158833,0.001248822
ENSG00000182446,7.633103236,4.064224934,1.079227804,3.765863815,0.000165974,0.001288862
ENSG00000197622,12.30577144,2.477419654,0.658852156,3.760205731,0.000169774,0.001302288
ENSG00000069667,9.107163791,-3.531964807,0.942743479,-3.746474926,0.000179337,0.001327093
ENSG00000105983,6.965266617,-5.095296384,1.359036727,-3.749196973,0.000177402,0.001327093
ENSG00000149547,8.413720127,-3.881858864,1.035867713,-3.747446526,0.000178644,0.001327093
ENSG00000134107,137.0057953,0.879411188,0.239385727,3.673615803,0.000239142,0.001749075
ENSG00000107731,6.801141418,-5.043398626,1.375770425,-3.665872251,0.000246497,0.001782145
ENSG00000113761,3.655647602,5.546702082,1.525701679,3.635508932,0.000277432,0.00196073
ENSG00000117707,6.465807721,-4.998376668,1.373981559,-3.637877552,0.000274894,0.00196073
ENSG00000197461,6.574980041,-4.995428732,1.377711087,-3.625889912,0.000287968,0.002012577
ENSG00000162545,23.41053553,-1.631306376,0.452178268,-3.607662047,0.000308969,0.002135618
ENSG00000168280,5.471139726,5.146311691,1.442883772,3.56668485,0.000361526,0.002471736
ENSG00000151466,3.654220008,5.533543275,1.573648414,3.516378388,0.000437477,0.00295885
ENSG00000148516,7.920316488,3.110474747,0.888785876,3.499689667,0.0004658,0.003116896
ENSG00000157657,6.115258625,-4.906871661,1.409994603,-3.480064144,0.000501294,0.003319092
ENSG00000075413,106.9996385,0.889844349,0.256122328,3.474294322,0.000512199,0.00335597
ENSG00000082898,73.8250893,-0.851766971,0.247527696,-3.441097636,0.000579359,0.003756877
ENSG00000157851,3.645803523,-5.163272422,1.509884655,-3.419646928,0.000627025,0.004024474
ENSG00000013297,4.058481308,-5.319448987,1.561259772,-3.407151764,0.000656446,0.004170754
ENSG00000134802,4.024579752,-5.306890606,1.560172642,-3.401476519,0.000670229,0.004184406
ENSG00000205583,6.342357574,3.84122601,1.129507971,3.40079584,0.0006719,0.004184406
ENSG00000102466,3.259662531,5.367744359,1.583633861,3.38951098,0.000700174,0.00431774
ENSG00000117560,3.651898887,-5.155898614,1.526375891,-3.37786953,0.000730497,0.004460998
ENSG00000188322,12.81770562,-2.103985288,0.624685377,-3.368071938,0.000756958,0.004578143
ENSG00000100226,35.68536658,1.168260047,0.350797486,3.330297657,0.000867532,0.005196929
ENSG00000172508,3.21652691,-4.983215656,1.549640926,-3.215722799,0.001301164,0.007721061
ENSG00000102678,3.168968974,-4.965413012,1.55930412,-3.184377536,0.001450657,0.008527693
ENSG00000167291,6.766387751,3.035800515,0.959860472,3.162751884,0.001562855,0.009102182
ENSG00000067715,3.194605611,-4.963949737,1.573685825,-3.154346095,0.001608582,0.009282551
ENSG00000167244,4.241960332,4.769090158,1.517879814,3.141941881,0.001678313,0.009596902
ENSG00000267058,2.812783435,5.162480956,1.65149726,3.125939764,0.001772379,0.010043478
ENSG00000020129,17.73063033,1.52476008,0.490264849,3.110074244,0.001870403,0.010504318
ENSG00000166483,2.637544381,5.066734569,1.646800041,3.076715111,0.002092952,0.01165015
ENSG00000158864,64.04744664,0.809447426,0.265923748,3.043908014,0.002335265,0.012884929
ENSG00000134779,9.341623644,2.585270865,0.859910295,3.00644251,0.00264324,0.014457375
ENSG00000271815,2.483085539,4.996750405,1.67151351,2.989356876,0.002795654,0.015159192
ENSG00000184007,135.93142,-0.587998568,0.197054959,-2.983931845,0.002845702,0.015298686
ENSG00000069011,13.83407683,-1.964381787,0.666802757,-2.945971301,0.003219423,0.01691169
