"row" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "SYMBOL"
"ENSG00000205583" 6.342357574 3.84122601 1.129507971 3.40079584 0.0006719 0.004184406 NA
"ENSG00000102466" 3.259662531 5.367744359 1.583633861 3.38951098 0.000700174 0.00431774 "FGF14"
"ENSG00000117560" 3.651898887 -5.155898614 1.526375891 -3.37786953 0.000730497 0.004460998 "FASLG"
"ENSG00000188322" 12.81770562 -2.103985288 0.624685377 -3.368071938 0.000756958 0.004578143 "SBK1"
"ENSG00000100226" 35.68536658 1.168260047 0.350797486 3.330297657 0.000867532 0.005196929 "GTPBP1"
"ENSG00000172508" 3.21652691 -4.983215656 1.549640926 -3.215722799 0.001301164 0.007721061 "CARNS1"
"ENSG00000102678" 3.168968974 -4.965413012 1.55930412 -3.184377536 0.001450657 0.008527693 "FGF9"
"ENSG00000167291" 6.766387751 3.035800515 0.959860472 3.162751884 0.001562855 0.009102182 "TBC1D16"
"ENSG00000067715" 3.194605611 -4.963949737 1.573685825 -3.154346095 0.001608582 0.009282551 "SYT1"
"ENSG00000167244" 4.241960332 4.769090158 1.517879814 3.141941881 0.001678313 0.009596902 "IGF2"
"ENSG00000267058" 2.812783435 5.162480956 1.65149726 3.125939764 0.001772379 0.010043478 "LOC100505715"
"ENSG00000020129" 17.73063033 1.52476008 0.490264849 3.110074244 0.001870403 0.010504318 "NCDN"
"ENSG00000166483" 2.637544381 5.066734569 1.646800041 3.076715111 0.002092952 0.01165015 "WEE1"
"ENSG00000158864" 64.04744664 0.809447426 0.265923748 3.043908014 0.002335265 0.012884929 "NDUFS2"
"ENSG00000134779" 9.341623644 2.585270865 0.859910295 3.00644251 0.00264324 0.014457375 "TPGS2"
"ENSG00000271815" 2.483085539 4.996750405 1.67151351 2.989356876 0.002795654 0.015159192 NA
"ENSG00000184007" 135.93142 -0.587998568 0.197054959 -2.983931845 0.002845702 0.015298686 "PTP4A2"
"ENSG00000069011" 13.83407683 -1.964381787 0.666802757 -2.945971301 0.003219423 0.01691169 "PITX1"
"ENSG00000174799" 2.45549067 4.983081076 1.691874398 2.945302017 0.003226396 0.01691169 "CEP135"
"ENSG00000179295" 192.5109342 0.502428582 0.170521096 2.946430639 0.003214645 0.01691169 "PTPN11"
"ENSG00000123159" 7.355597791 -2.757187675 0.94030695 -2.932220883 0.003365473 0.017494896 "GIPC1"
"ENSG00000124164" 2.636663521 -4.697910145 1.628946352 -2.88401772 0.003926367 0.020243316 "VAPB"
"ENSG00000103942" 4.36905759 3.855320338 1.346586761 2.863031518 0.004196088 0.021458045 "HOMER2"
"ENSG00000269821" 2.656767216 -4.694490444 1.643944666 -2.855625583 0.004295213 0.021787816 "KCNQ1OT1"
"ENSG00000269163" 2.575659674 -4.656917068 1.633336258 -2.851168609 0.004355886 0.021918821 NA
"ENSG00000144218" 2.528101737 -4.634623279 1.637200984 -2.830821216 0.004642867 0.023177484 "AFF3"
"ENSG00000152767" 2.56956431 -4.667347216 1.651524593 -2.826083993 0.004712091 0.023337835 "FARP1"
"ENSG00000138814" 7.799281571 -2.34696995 0.843496785 -2.78242904 0.005395366 0.026513167 "PPP3CA"
"ENSG00000230606" 4.648954664 3.336527258 1.202058705 2.775677465 0.005508683 0.026860166 NA
"ENSG00000108349" 8.056389255 2.107098451 0.762862297 2.762095413 0.005743169 0.027367072 "CASC3"
"ENSG00000117036" 2.453089559 -4.584679135 1.657639104 -2.765788478 0.005678535 0.027367072 "ETV3"
"ENSG00000184937" 4.914928815 -3.642345916 1.31835852 -2.762788619 0.005730987 0.027367072 "WT1"
"ENSG00000198087" 10.76801834 1.987779376 0.727602622 2.73195741 0.006295928 0.029775479 "CD2AP"
"ENSG00000173391" 2.639043546 -4.709773349 1.729794362 -2.722735981 0.006474378 0.030390922 "OLR1"
"ENSG00000132669" 3.080129618 4.274179201 1.572582243 2.717936834 0.006569038 0.03060685 "RIN2"
"ENSG00000213859" 11.49185358 1.640739164 0.605255216 2.710822014 0.006711664 0.031041447 "KCTD11"
"ENSG00000169991" 59.83779964 0.737400417 0.273318422 2.697953586 0.006976717 0.032031787 "IFFO2"
"ENSG00000213626" 2.350060718 -4.518422548 1.691325911 -2.671526828 0.007550704 0.034415888 "LBH"
"ENSG00000143816" 2.336052387 -4.511120085 1.704706144 -2.646274315 0.008138379 0.036564574 "WNT9A"
"ENSG00000164916" 13.33076912 -1.58901309 0.600460625 -2.646323546 0.008137195 0.036564574 "FOXK1"
"ENSG00000166888" 2.349498297 -4.53153029 1.73331928 -2.614365594 0.008939332 0.039878299 "STAT6"
"ENSG00000175911" 1.951994244 4.649933402 1.782932394 2.608025642 0.009106613 0.040338449 NA
"ENSG00000011454" 13.35502581 -1.515658457 0.582309239 -2.602841162 0.009245478 0.040667171 "GPR21"
"ENSG00000011454" 13.35502581 -1.515658457 0.582309239 -2.602841162 0.009245478 0.040667171 "RABGAP1"
"ENSG00000213853" 4.266148611 -3.409788463 1.313896347 -2.595173105 0.009454329 0.041297034 "EMP2"
"ENSG00000103034" 5.536398747 -2.701741056 1.062398481 -2.543058094 0.010988696 0.04734171 "NDRG4"
"ENSG00000236233" 7.761117213 2.088054803 0.820959917 2.543430878 0.010976977 0.04734171 NA
"ENSG00000169047" 2.733947221 4.113466942 1.621442856 2.536917614 0.011183327 0.047852467 "IRS1"
