Genes,Methods,Fold change (log2R)
HOXA13,real-time PCR,-40.36
HOXA13,real-time PCR,-50.45
HOXA13,real-time PCR,-30.34
HOXA13,RNA-Seq,-2.42
HOXB13,real-time PCR,-2.36
HOXB13,real-time PCR,-3.04
HOXB13,real-time PCR,-2.15
HOXB13,RNA-Seq,-1.79
OTX1,real-time PCR,-2.25
OTX1,real-time PCR,-3.99
OTX1,real-time PCR,-2.8
OTX1,RNA-Seq,-2.53
